postcode,locality,State,long,lat,id,dc,type,status
2000,DARLING HARBOUR,NSW,151.256649,-33.859953,4478,NULL,NULL,
2000,DAWES POINT,NSW,151.256649,-33.859953,4479,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,HAYMARKET,NSW,151.256649,-33.859953,4480,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,MILLERS POINT,NSW,151.256649,-33.859953,4481,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,PARLIAMENT HOUSE,NSW,151.256649,-33.859953,4482,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,SYDNEY,NSW,151.256649,-33.859953,4483,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,SYDNEY SOUTH,NSW,151.256649,-33.859953,4484,WATERLOO DELIVERY FACILITY,Delivery Area,
2000,THE ROCKS,NSW,151.256649,-33.859953,4485,WATERLOO DELIVERY FACILITY,Delivery Area,
2001,SYDNEY,NSW,NULL,NULL,4486,GPO BOX CENTRE SYDNEY,Post Office Boxes,
2004,ALEXANDRIA MC,NSW,NULL,NULL,4487,NULL,NULL,
2004,EASTERN SUBURBS MC,NSW,NULL,NULL,4488,NULL,NULL,
2006,THE UNIVERSITY OF SYDNEY,NSW,151.186507,-33.889219,4489,SYDNEY UNIVERSITY LPO,Delivery Area,
2007,BROADWAY,NSW,151.19665,-33.883189,4490,BROADWAY POST SHOP,Delivery Area,
2007,ULTIMO,NSW,151.19665,-33.883189,4491,WATERLOO DELIVERY FACILITY,Delivery Area,
2008,CHIPPENDALE,NSW,151.193858,-33.891146,4492,WATERLOO DELIVERY FACILITY,Delivery Area,
2008,DARLINGTON,NSW,151.193858,-33.891146,4493,WATERLOO DELIVERY FACILITY,Delivery Area,
2008,GOLDEN GROVE,NSW,151.193858,-33.891146,4494,NULL,NULL,
2009,DARLING ISLAND,NSW,151.193055,-33.871222,4495,NULL,NULL,
2009,PYRMONT,NSW,151.193055,-33.871222,4496,WATERLOO DELIVERY FACILITY,Delivery Area,
2010,DARLINGHURST,NSW,151.212262,-33.884119,4497,WATERLOO DELIVERY FACILITY,Delivery Area,
2010,SURRY HILLS,NSW,151.212262,-33.884119,4498,WATERLOO DELIVERY FACILITY,Delivery Area,
2010,TAYLOR SQUARE,NSW,151.212262,-33.884119,4499,NULL,NULL,
2011,ELIZABETH BAY,NSW,151.221626,-33.873599,4500,WATERLOO DELIVERY FACILITY,Delivery Area,
2011,HMAS KUTTABUL,NSW,151.221626,-33.873599,4501,WATERLOO DELIVERY FACILITY,Delivery Area,
2011,KINGS CROSS,NSW,151.221626,-33.873599,4502,NULL,NULL,
2011,POTTS POINT,NSW,151.221626,-33.873599,4503,WATERLOO DELIVERY FACILITY,Delivery Area,
2011,RUSHCUTTERS BAY,NSW,151.221626,-33.873599,4504,WATERLOO DELIVERY FACILITY,Delivery Area,
2011,WOOLLOOMOOLOO,NSW,151.221626,-33.873599,4505,WATERLOO DELIVERY FACILITY,Delivery Area,
2012,STRAWBERRY HILLS,NSW,NULL,NULL,4506,STRAWBERRY HILLS BC,Post Office Boxes,
2013,STRAWBERRY HILLS,NSW,NULL,NULL,4507,STRAWBERRY HILLS BC,Post Office Boxes,Removed 23-Nov-2018
2015,ALEXANDRIA,NSW,151.194825,-33.910105,4508,ALEXANDRIA DF,Delivery Area,
2015,BEACONSFIELD,NSW,151.194825,-33.910105,4509,ALEXANDRIA DF,Delivery Area,
2015,EVELEIGH,NSW,151.194825,-33.910105,4510,ALEXANDRIA DF,Delivery Area,
2016,REDFERN,NSW,151.206211,-33.894912,4511,WATERLOO DELIVERY FACILITY,Delivery Area,
2017,WATERLOO,NSW,151.206316,-33.903892,4512,WATERLOO DELIVERY FACILITY,Delivery Area,
2017,ZETLAND,NSW,151.206316,-33.903892,4513,WATERLOO DELIVERY FACILITY,Delivery Area,
2018,EASTLAKES,NSW,151.202697,-33.9233,4514,ALEXANDRIA DF,Delivery Area,
2018,ROSEBERY,NSW,151.202697,-33.9233,4515,ALEXANDRIA DF,Delivery Area,
2019,BANKSMEADOW,NSW,151.207285,-33.946923,4516,ALEXANDRIA DF,Delivery Area,
2019,BOTANY,NSW,151.207285,-33.946923,4517,ALEXANDRIA DF,Delivery Area,
2020,MASCOT,NSW,151.176775,-33.936179,4518,ALEXANDRIA DF,Delivery Area,
2020,SYDNEY DOMESTIC AIRPORT,NSW,151.176775,-33.936179,4519,SYD INTERNATIONAL AIRPORT LPO,Delivery Area,
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,151.176775,-33.936179,4520,SYD INTERNATIONAL AIRPORT LPO,Delivery Area,
